Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Assembly	Genus_source
ON645339.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Sham	GCA_024606115	Streptomyces
MN369754.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus annadreamy	GCA_009673145	Streptomyces
MW822145.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage TunaTartare	GCA_018987215	Streptomyces
MH536811.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus annadreamy	GCA_003354185	Streptomyces
MH536814.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus blueeyedbeauty	GCA_003365655	Streptomyces
MT684598.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Faust	GCA_014518015	Streptomyces
MT952852.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Beuffert	GCA_014892985	Streptomyces
MZ820093.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Forrest	GCA_020494145	Streptomyces
MZ820094.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Jada	GCA_020494155	Streptomyces
MZ820095.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_020494165	Streptomyces
ON456343.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Stigma	GCA_024372165	Streptomyces
ON208830.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Emma1919	GCA_023700045	Streptomyces
MH590589.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_003366675	Streptomyces
MH651172.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_003442695	Streptomyces
MK061412.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus gilson	GCA_004015365	Streptomyces
MT114162.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Moab	GCA_011896965	Streptomyces
MW365952.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_016673805	Streptomyces
MW435853.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus gilson	GCA_016811615	Streptomyces
OL829978.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Tomas	GCA_022544665	Streptomyces
ON260828.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Quaran19	GCA_023661315	Streptomyces
ON260819.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage SaltySpitoon	GCA_023661325	Streptomyces
ON970590.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage JimJam	GCA_024825145	Streptomyces
ON970579.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Spilled	GCA_024828155	Streptomyces
OP021680.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Stanimal	GCA_024750355	Streptomyces
OQ709199.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage PumpkinSpice	GCA_029876025	Streptomyces
MN369750.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage TomSawyer	GCA_009673165	Streptomyces
MN369757.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Karimac	GCA_009673125	Streptomyces
MN428060.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage IchabodCrane	GCA_009189145	Streptomyces
MN484599.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Wipeout	GCA_009672385	Streptomyces
MH576965.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus StarPlatinum	GCA_003366375	Streptomyces
MH576964.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Karimac	GCA_003366355	Streptomyces
MH576968.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Wollford	GCA_003366435	Streptomyces
MH590599.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Karimac	GCA_003366855	Streptomyces
MH590597.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus LukeCage	GCA_003366815	Streptomyces
MH727564.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Yaboi	GCA_003601375	Streptomyces
MK359332.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Yaboi	GCA_004149285	Streptomyces
MK359351.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Yaboi	GCA_004149305	Streptomyces
MK801722.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage Birchlyn	GCA_006535795	Streptomyces
MW291014.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces phage MindFlayer	GCA_015918505	Streptomyces
MW507134.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus	Streptomyces virus Karimac	GCA_016906755	Streptomyces
OK310502.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus nootnoot	GCA_021216455	Streptomyces
MZ958750.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Streptomyces phage Targaryen	GCA_020882835	Streptomyces
ON108650.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Streptomyces phage Squillium	GCA_023079095	Streptomyces
ON970591.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Streptomyces phage Angela	GCA_024828125	Streptomyces
MN369743.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus peebs	GCA_009673185	Streptomyces
MN444876.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus daubenski	GCA_009672605	Streptomyces
KM652554.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus jay2jay	GCA_001550725	Streptomyces
MF155946.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus mildred21	GCA_002627405	Streptomyces
MF347636.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus nootnoot	GCA_002627445	Streptomyces
MF347637.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus paradiddles	GCA_002627465	Streptomyces
MF347638.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus peebs	GCA_002627485	Streptomyces
MF347639.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus samisti12	GCA_002627505	Streptomyces
MF358541.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus jay2jay	GCA_002625385	Streptomyces
MF358542.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus peebs	GCA_002625405	Streptomyces
MK460248.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus peebs	GCA_004149265	Streptomyces
MK494112.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus egole	GCA_004520615	Streptomyces
MK977711.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus evy	GCA_006965365	Streptomyces
MN096371.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus braelyn	GCA_007051625	Streptomyces
MT310865.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus bmoc	GCA_012934065	Streptomyces
MT684590.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Streptomyces phage LilMartin	GCA_014518025	Streptomyces
MT897905.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Streptomyces phage MulchMansion	GCA_014518145	Streptomyces
MW507136.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus	Samistivirus peebs	GCA_016906765	Streptomyces
MG757153.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Wilnyevirus	Wilnyevirus billnye	GCA_002958845	Streptomyces
MK620896.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Wilnyevirus	Wilnyevirus billnye	GCA_004799965	Streptomyces
MT024865.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Wilnyevirus	Streptomyces phage Wakanda	GCA_011756665	Streptomyces
MT024872.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Wilnyevirus	Streptomyces phage Muntaha	GCA_011756685	Streptomyces
MT711976.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Boydwoodruffvirinae		Streptomyces phage Coruscant	GCA_014337465	Streptomyces
MG593800.1	Viruses	Uroviricota	Caudoviricetes				Abbeymikolonvirus	Abbeymikolonvirus abbeymikolon	GCA_002957555	Streptomyces
MH001457.1	Viruses	Uroviricota	Caudoviricetes				Abbeymikolonvirus	Abbeymikolonvirus abbeymikolon	GCA_003014005	Streptomyces
MH001460.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Arequatrovirus	Arequatrovirus paedore	GCA_003014035	Streptomyces
JX262376.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Arequatrovirus	Arequatrovirus ELB20	GCA_002601425	Streptomyces
JX182370.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Arequatrovirus	Arequatrovirus R4	GCA_000899575	Streptomyces
MG593801.1	Viruses	Uroviricota	Caudoviricetes				Attoomivirus	Attoomivirus attoomi	GCA_002957565	Streptomyces
KY092479.1	Viruses	Uroviricota	Caudoviricetes				Austintatiousvirus	Austintatiousvirus ididsumtinwong	GCA_002617105	Streptomyces
KY092483.1	Viruses	Uroviricota	Caudoviricetes				Austintatiousvirus	Austintatiousvirus ididsumtinwong	GCA_002617085	Streptomyces
KY092481.1	Viruses	Uroviricota	Caudoviricetes				Austintatiousvirus	Austintatiousvirus papayasalad	GCA_002617145	Streptomyces
MK305888.1	Viruses	Uroviricota	Caudoviricetes				Austintatiousvirus	Austintatiousvirus austintatious	GCA_004149105	Streptomyces
MT711975.1	Viruses	Uroviricota	Caudoviricetes				Austintatiousvirus	Streptomyces phage Alderaan	GCA_014337455	Streptomyces
MG757154.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Bingvirus bing	GCA_002958855	Streptomyces
MH155880.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage SendItCS	GCA_003183485	Streptomyces
MH155877.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage Rainydai	GCA_003183445	Streptomyces
MN204496.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage Kardashian	GCA_008704895	Streptomyces
MT310852.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage ClubPenguin	GCA_012933955	Streptomyces
MT310854.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage CricKo	GCA_012933975	Streptomyces
MT657340.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage Thiqqums	GCA_014488895	Streptomyces
MW145539.1	Viruses	Uroviricota	Caudoviricetes				Bingvirus	Streptomyces phage SscP1EGY	GCA_018954575	Streptomyces
MF766045.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Caelumvirus daudau	GCA_002743755	Streptomyces
MH669016.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Streptomyces phage TrvxScott	GCA_003442515	Streptomyces
MH651190.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Caelumvirus thestral	GCA_003443055	Streptomyces
MK392363.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Streptomyces phage Bowden	GCA_004149325	Streptomyces
MK392365.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Streptomyces phage TinaBelcher	GCA_004149365	Streptomyces
MK460245.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Streptomyces phage BartholomewSD	GCA_004149245	Streptomyces
MK524524.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Caelumvirus caelum	GCA_004339925	Streptomyces
MN234208.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Caelumvirus alvy	GCA_008940205	Streptomyces
MT310863.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Caelumvirus	Caelumvirus issmi	GCA_012934055	Streptomyces
KT186228.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus amela	GCA_001501895	Streptomyces
KT186229.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus amela	GCA_002606905	Streptomyces
KX815338.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus joe	GCA_002614665	Streptomyces
MG298964.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus alsaber	GCA_002957305	Streptomyces
MN204498.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus saftant	GCA_008704955	Streptomyces
MT701598.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus sitrop	GCA_015502115	Streptomyces
MT711978.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus endor1	GCA_014337485	Streptomyces
MT711979.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Camvirus	Camvirus endor2	GCA_014337495	Streptomyces
ON526983.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Celiavirus	Streptomyces phage VieEnRose	GCA_023897935	Streptomyces
MN062705.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Celiavirus	Celiavirus celia	GCA_007647435	Streptomyces
MN234189.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Celiavirus	Streptomyces phage Urza	GCA_008939665	Streptomyces
MT310862.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Celiavirus	Streptomyces phage Itza	GCA_012934045	Streptomyces
MZ622160.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Flowerpowervirus flowerpower	GCA_020492135	Streptomyces
ON108647.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Streptomyces phage Vorvolakos	GCA_023078975	Streptomyces
OP751154.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Streptomyces phage Stella	GCA_026724325	Streptomyces
MH155868.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Flowerpowervirus flowerpower	GCA_003183245	Streptomyces
MN119376.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Flowerpowervirus flowerpower	GCA_007998495	Streptomyces
MN284894.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Flowerpowervirus	Flowerpowervirus flowerpower	GCA_009187925	Streptomyces
ON526970.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Hautrevirus	Streptomyces phage BroPlease	GCA_023897905	Streptomyces
ON526974.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Hautrevirus	Streptomyces phage GreenWeasel	GCA_023897925	Streptomyces
JX182369.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Hautrevirus	Hautrevirus hau3	GCA_000898755	Streptomyces
MK279841.1	Viruses	Uroviricota	Caudoviricetes				Hiyaavirus	Hiyaavirus hiyaa	GCA_004006885	Streptomyces
MT316461.1	Viruses	Uroviricota	Caudoviricetes				Hiyaavirus	Streptomyces phage Galactica	GCA_012934415	Streptomyces
MT723933.1	Viruses	Uroviricota	Caudoviricetes				Hiyaavirus	Streptomyces phage Keanu	GCA_014337825	Streptomyces
OL455897.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_021870555	Streptomyces
ON970569.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Streptomyces phage JPandJE	GCA_024828145	Streptomyces
MG518520.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957455	Streptomyces
MG663582.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957595	Streptomyces
MG663583.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957605	Streptomyces
MG663584.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957615	Streptomyces
MG663585.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957625	Streptomyces
MG663586.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_002957635	Streptomyces
MK112550.1	Viruses	Uroviricota	Caudoviricetes			Beephvirinae	Immanueltrevirus	Immanueltrevirus immanuel3	GCA_003867865	Streptomyces
MF766047.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Janusvirus	Streptomyces phage SqueakyClean	GCA_002743795	Streptomyces
MH669004.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Janusvirus	Janusvirus hank144	GCA_003442275	Streptomyces
MK392366.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Janusvirus	Janusvirus janus	GCA_004149385	Streptomyces
MN234192.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Janusvirus	Streptomyces phage Animus	GCA_008939725	Streptomyces
KC700556.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus lika	GCA_000908495	Streptomyces
KC700557.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus sujidade	GCA_000909095	Streptomyces
KC700558.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus zemlya	GCA_000910055	Streptomyces
MZ648032.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Chucky	GCA_020493575	Streptomyces
MZ648039.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage RedBear	GCA_020493595	Streptomyces
MZ648040.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Triste	GCA_020493615	Streptomyces
MZ820088.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Katalie	GCA_020494175	Streptomyces
MZ820092.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage SarahRose	GCA_020494185	Streptomyces
MZ820091.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage South40	GCA_020494195	Streptomyces
OL455894.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_021870565	Streptomyces
OL455891.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus hydra	GCA_021870545	Streptomyces
OL742563.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Snorlax	GCA_022211165	Streptomyces
ON208832.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Legacy	GCA_023700095	Streptomyces
ON526985.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Ejemplo	GCA_023897915	Streptomyces
OP820462.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage TagePhighter	GCA_026724135	Streptomyces
KT184390.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_001500455	Streptomyces
KT184391.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus lannister	GCA_001502495	Streptomyces
KT152029.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus caliburn	GCA_001502475	Streptomyces
KT124227.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_002756735	Streptomyces
KT124228.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus danzina	GCA_002603425	Streptomyces
KT124229.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus hydra	GCA_002756755	Streptomyces
KX344445.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus nanodon	GCA_001745835	Streptomyces
KX507345.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus danzina	GCA_002611825	Streptomyces
KX507344.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus lika	GCA_002611845	Streptomyces
KX507343.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus lorelei	GCA_002611865	Streptomyces
MF541403.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus caliburn	GCA_002628525	Streptomyces
MF541404.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_002628545	Streptomyces
MF541405.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus zemlya	GCA_002628565	Streptomyces
MF541406.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Dattran	GCA_002628585	Streptomyces
MF541407.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_002628605	Streptomyces
MF541408.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_002628625	Streptomyces
MF541409.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_002628645	Streptomyces
MF541410.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus caliburn	GCA_002628665	Streptomyces
MG757163.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage OzzyJ	GCA_002958865	Streptomyces
MH171096.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_003183565	Streptomyces
MH171097.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus goby	GCA_003183585	Streptomyces
MH171095.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Maneekul	GCA_003183545	Streptomyces
MH171094.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Nabi	GCA_003183525	Streptomyces
MH171093.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Rana	GCA_003183505	Streptomyces
MH171098.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Toma	GCA_003183605	Streptomyces
MK433276.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Asten	GCA_004149525	Streptomyces
MK433270.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_004149605	Streptomyces
MK433271.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_004149505	Streptomyces
MK433278.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_004149545	Streptomyces
MN096375.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus aaronocolus	GCA_007051705	Streptomyces
MN096381.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus izzy	GCA_007051805	Streptomyces
MN096373.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage TuanPN	GCA_007051665	Streptomyces
MN096379.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Likavirus yasdnil	GCA_007051785	Streptomyces
MN284899.1	Viruses	Uroviricota	Caudoviricetes			Arquatrovirinae	Likavirus	Streptomyces phage Whatever	GCA_009186585	Streptomyces
