abc1 100
abc2 100
aca1 90
aca10 70
aca11 70
aca12 180
aca13 70
aca2 140
aca3 75
aca4 50
aca5 60
aca6 60
aca7 80
aca8 80
aca9 80
acb1 30
acb2 30
acria1 300
acric1 300
acric10 100
acric11 119
acric3 140
acric4 100
acric5 45
acric6 200
acric7 150
acric8 140
acric9 150
acrid1 100
acrie1 150
acrie2 140
acrie3 100
acrie4-if7 100
acrie4 200
acrie5 20
acrie6 20
acrie7 20
acrie8 100
acrie9 90
acrif1 120
acrif10 20
acrif11 125
acrif12 150
acrif13 150
acrif14 150
acrif15 80
acrif16 250
acrif17 80
acrif18 100
acrif19 150
acrif2 140
acrif20 100
acrif21 20
acrif22 100
acrif23 200
acrif24 250
acrif2_c2 150
acrif3 200
acrif4 175
acrif5 150
acrif6 100
acrif7 120
acrif8 110
acrif9 95
acriia1 200
acriia10 20
acriia11 120
acriia12 200
acriia13 150
acriia14 140
acriia15 250
acriia16 240
acriia17 100
acriia18 280
acriia19 140
acriia2 140
acriia20 100
acriia21 40
acriia22 20
acriia23 140
acriia24 125
acriia25 150
acriia26 20
acriia27 160
acriia28 150
acriia29 200
acriia3 130
acriia30 20
acriia31 120
acriia32 200
acriia4 56
acriia5 90
acriia6 250
acriia7 75
acriia8 100
acriia9 162
acriic1 100
acriic2 140
acriic3 150
acriic4 100
acriic5 200
acriic6 120
acriii-1 100
acriii1 60
acriiib1 20
acriiib2 20
acrva1 150
acrva2 300
acrva3 150
acrva4 400
acrva5 120
acrvia1lse 20
acrvib1 200
acrx 100
adfa 400
adnd_p0020 175
adnd_p0021 20
alt 400
apyc1 100
arda 200
ardb 30
ardc 100
ardk 45
ardr 150
ardu 100
arn 100
atd1 40
dam 200
dara 750
darb 1500
ddra 100
ddrb 1200
dmd 90
dsad1 200
gad1 200
gad2 200
gam 40
gnarl1 20
gnarl2 60
gnarl3 100
gp4.5 100
gp5.9 60
had1 100
hdf 120
hia5 200
hin1523 280
ip1 140
ipi 80
ipii 100
klca 80
lar 60
mom 200
narp1_adps 150
narp1_namat 300
narp2_nampt 250
narp2_nmnat 250
nma1821 250
ntase 240
ocr 140
orba 100
orf126 20
orf148 80
psia 100
psib 150
racc 135
rad 120
ral 80
rexb 100
samase 140
stp 20
tad1 50
tad2 75
tifa 55
ugi 70
ulx 20
vcrx089 180
vcrx090 300
vcrx091 150
vcrx092 100
vcrx093 100
